ID,英文名稱,中文名稱,圖片,化學式,更新日期
536210,thiazolyl,噻唑基,,C<sub>3</sub>H<sub>2</sub>NS－,2012-11-26
536211,thienyl,噻吩基,,C<sub>4</sub>H<sub>3</sub>S－,2012-11-26
536212,thio,硫基,,－S－,2012-11-26
536213,thioacetyl,硫乙醯基,,CH<sub>3</sub>CS－,2012-11-26
536214,thiobenzoyl,硫苄醯基,,C<sub>6</sub>H<sub>5</sub>CS－,2012-11-26
536215,thiocarbamoyl; thiocarbamyl,胺硫甲醯基,,H<sub>2</sub>NCS－,2012-11-26
536216,thiocarbazono,硫卡腙基,,NH=N－CSNHNH<sub>2</sub>－,2012-11-26
536217,thiocarbodiazono,硫卡二腙基,,NH=N－CSN=N－,2012-11-26
536218,thiocarbonohydrazido,硫卡肼基,,NH<sub>2</sub>NHCSNHNH－,2012-11-26
536219,thiocarbonyl,硫羰基,,S=C<,2012-11-26
536220,thiocarboxy,硫羧基,,HSOC－,2012-11-26
536221,thiocyanato,氰硫基,,NCS－,2012-11-26
536222,thioformyl,硫甲醯基,,SHC－,2012-11-26
536223,thionyl,亚硫醯基,,O=S<,2012-11-26
536224,thiophenecarbonyl {thenoyl},噻吩甲醯基,,SC<sub>4</sub>H<sub>3</sub>CO－,2012-11-26
536225,thiophenyl,苯硫基,,C<sub>6</sub>H<sub>5</sub>S－,2012-11-26
536226,thiosemicarbazido,硫半卡肼基,,H<sub>2</sub>NCSNHNH－,2012-11-26
536227,thiosulfino,硫代亚磺酸基,,HOS<sub>2</sub>－,2012-11-26
536228,thiosulfo,硫代磺酸基,,HO<sub>2</sub>S<sub>2</sub>－,2012-11-26
536229,thioureido,硫脲基,,H<sub>2</sub>NCSNH－,2012-11-26
536230,thioxo; thiono,硫[酮]基,,S=(C<) ,2012-11-26
536231,threonyl,苏胺醯基,,CH<sub>3</sub>CH(OH)CH(NH<sub>2</sub>)CO－,2012-11-26
536232,thujyl,【草(之上)丢】基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
536233,thymyl {3-p-cymyl},瑞香[草]基 {3-对莳萝基；3-对【草(之上)散】基},,CH<sub>3</sub>(C<sub>3</sub>H<sub>7</sub>)C<sub>6</sub>H<sub>3</sub>－,2012-11-26
536234,thyronyl,甲[状]腺胺醯基,,p-(p-HOC<sub>6</sub>H<sub>4</sub>O)C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
536235,toloxy; tolyloxy {cresoxy},【草(之上)叨】氧基；{甲苯氧基},,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>O－,2012-11-26
536236,toluenesulfonyl,甲苯磺醯基；【草(之上)叨】磺醯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>－,2012-11-26
536237,toluidino; toluido; toluino,【草(之上)叨】胺基； 甲苯胺基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>NH－,2012-11-26
536238,toluoyl,【草(之上)叨】甲醯基；甲苯甲醯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
536239,α-toluoyl {phenylacetyl},α-【草(之上)叨】甲醯基 {苯乙醯基},,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>CO－,2012-11-26
536240,toluyl,【草(之上)叨】甲醯基；甲苯甲醯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
536241,tolyl,【草(之上)叨】基；甲苯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>－,2012-11-26
536242,α-tolyl {benzyl},α-【草(之上)叨】基 {苄基},,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>－,2012-11-26
536243,tolylene,甲伸苯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>3</sub><,2012-11-26
536244,α-tolylene {benzylidene; benzal},苯亚甲基 {亚苄基},,C<sub>6</sub>H<sub>5</sub>CH<,2012-11-26
536245,tolyloxy,【草(之上)叨】氧基；甲苯氧基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>O－,2012-11-26
536246,tolylsulfonyl,甲苯磺醯基；【草(之上)叨】磺醯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>－,2012-11-26
536247,tosyl,甲苯磺醯基；【草(之上)叨】磺醯基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>SO<sub>2</sub>－,2012-11-26
536248,triacontyl,三十基 {蜜蜡基},,C<sub>2</sub><sub>9</sub>H<sub>5</sub><sub>9</sub>CH<sub>2</sub>－,2012-11-26
536249,triazaphenanthryl,三吖菲基,,N<sub>3</sub>C<sub>1</sub><sub>1</sub>H<sub>6</sub>－,2012-11-26
536250,triazeno,三氮烯基 {胺偶氮基},,H<sub>2</sub>NN=N－,2012-11-26
536251,triazinyl,三【口井】基,,C<sub>3</sub>H<sub>2</sub>N<sub>3</sub>－,2012-11-26
536252,triazo {azido},三氮基 {叠氮基},,N<sub>3</sub>－,2012-11-26
536253,triazolidinyl,三唑啶基,,C<sub>2</sub>H<sub>6</sub>N<sub>3</sub>－,2012-11-26
536254,triazolyl,三唑基,,C<sub>2</sub>H<sub>2</sub>N<sub>3</sub>－,2012-11-26
536255,tricosyl,二十三基,,C<sub>2</sub><sub>3</sub>H<sub>4</sub><sub>7</sub>－,2012-11-26
536256,tridecanoyl,十三醯基,,C<sub>1</sub><sub>2</sub>H<sub>2</sub><sub>5</sub>CO－,2012-11-26
536257,tridecyl,十三基,,C<sub>1</sub><sub>3</sub>H<sub>2</sub><sub>7</sub>－,2012-11-26
536258,trifluorothio,三氟硫基,,F<sub>3</sub>S－,2012-11-26
536259,"3,4,5-trihydroxybenzoyl {galloyl}","3,4,5-三羟苯甲醯基；3,4,5-三羟苄醯基",,"3,4,5-(HO)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>CO－",2012-11-26
536260,trimethylammonio,三甲铵基,,(CH<sub>3</sub>)<sub>3</sub>N<sup>+</sup>－,2012-11-26
536261,trimethylanilino,三甲苯胺基,,(CH<sub>3</sub>)<sub>3C6</sub>H<sub>2</sub>NH－,2012-11-26
536262,trimethylene,伸丙基,,－CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
536263,"2,4,5-trimethoxyphenyl {asaryl}","2,4,5-三甲氧苯基 {细辛基}",,(CH<sub>3</sub>O)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>－,2012-11-26
536264,"2,3,5-trimethylphenyl {pseudocumyl}","2,4,5-三甲苯基 {假【草(之上)久】基}",,(CH<sub>3</sub>)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>－,2012-11-26
536265,trinaphthylenyl,联伸三萘基,,C<sub>30</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
536266,triphenylmethyl {trityl},三苯甲基,,(C<sub>6</sub>H<sub>5</sub>)<sub>3</sub>C－,2012-11-26
536267,triphenylsilyl,三苯矽基,,(C<sub>6</sub>H<sub>5</sub>)<sub>3</sub>Si－,2012-11-26
536268,trisilanyl,三矽烷基,,H<sub>3</sub>SiSiH<sub>2</sub>SiH<sub>2</sub>－,2012-11-26
536269,trisilanylene,伸三矽烷基,,－H<sub>2</sub>SiSiH<sub>2</sub>SiH<sub>2</sub>－,2012-11-26
536270,trithiadiazaindenyl,三噻二吖茚基,,S<sub>3</sub>N<sub>2</sub>C<sub>4</sub>H<sub>7</sub>－,2012-11-26
536271,trithio,三硫基,,－S<sub>3</sub>－,2012-11-26
536272,trithiosulfo,三硫代磺酸基,,HSS<sub>3</sub>－,2012-11-26
536273,tritriacontyl,三十三基,,CH<sub>3</sub> (CH<sub>2</sub>)<sub>3</sub><sub>1</sub>CH<sub>2</sub>－,2012-11-26
536274,trityl,三苯甲基,,(C<sub>6</sub>H<sub>5</sub>)<sub>3</sub>C－,2012-11-26
536275,tropoyl,颠茄醇醯基,,C<sub>6</sub>H<sub>5</sub>CH(CH<sub>2</sub>OH)CO－,2012-11-26
536276,tropyl,【草(之上)卓】基,,C<sub>7</sub>H<sub>7</sub>－,2012-11-26
536277,tryptophanyl,色胺醯基,,NC<sub>8</sub>H<sub>6</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
536278,tryptophyl,色胺醯基,,NC<sub>8</sub>H<sub>6</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
536279,tyrosyl,酪胺醯基,,p-HOC<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>(NH<sub>2</sub>)CO－,2012-11-26
536280,undecanoyl,十一醯基,,C<sub>10</sub>H<sub>1</sub><sub>9</sub>CO－,2012-11-26
536281,undecyl {hendecyl},十一基,,C<sub>1</sub><sub>1</sub>H<sub>2</sub><sub>3</sub>－,2012-11-26
536282,uramino {carbamido; ureido},脲基,,H<sub>2</sub>NCONH－,2012-11-26
536283,ureido {carbamido},脲基,,H<sub>2</sub>NCONH－,2012-11-26
536284,ureylene,伸脲基,,－NHCONH－,2012-11-26
536285,valeryl,缬草醯基 {戊醯基},,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
536286,valyl,缬胺醯基,,(CH<sub>3</sub>)<sub>2</sub>CHCH(NH<sub>2</sub>)CO－,2012-11-26
536287,vanilloyl {2-hydroxy-3-methoxybenzoyl},香草醯基 {2-羟-3-甲氧苯甲醯基；2-羟-3-甲氧苄醯基},,HOC<sub>6</sub>H<sub>3</sub>(OCH<sub>3</sub>)CO－,2012-11-26
536288,vanillyl,香草基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>3</sub>(OH)CH<sub>2</sub>－,2012-11-26
536289,vanillylidene,亚香草基,,HOC<sub>6</sub>H<sub>3</sub>(OCH<sub>3</sub>)CH=,2012-11-26
536290,veraltrylidene {veratral},亚藜芦基,,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH=,2012-11-26
536291,veratral {veratrylidene},亚藜芦基,,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH=,2012-11-26
536292,"veratroyl {3,4-dimethoxybenzoyl}","藜芦醯基 {3,4-二甲氧苯甲醯基；3,4-二甲氧苄醯基}",,"3,4-(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CO－",2012-11-26
536293,veratryl,藜芦基,,(CH<sub>3</sub>O)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CH<sub>2</sub>－,2012-11-26
536294,vinyl,乙烯基,,CH<sub>2</sub>=CH－,2012-11-26
536295,vinylene,伸乙烯基,,－CH=CH－,2012-11-26
536296,vinylidene,亚乙烯基,,CH<sub>2</sub>=C=,2012-11-26
536297,violanthrenyl,【艹法】基,,C<sub>3</sub><sub>4</sub>H<sub>1</sub><sub>9</sub>－,2012-11-26
536298,xanthenyl,【口山】基,,OC<sub>1</sub><sub>3</sub>H<sub>9</sub>－,2012-11-26
536299,xenyl; biphenylyl,联苯基,,C<sub>6</sub>H<sub>5</sub>C<sub>6</sub>H<sub>4</sub>－,2012-11-26
536300,xylidino,茬胺基,,(CH<sub>3</sub>)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>NH－,2012-11-26
536301,xyloyl,茬甲醯基,,(CH<sub>3</sub>)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>CO－,2012-11-26
536302,xylyl,茬基；二甲苯基,,(CH<sub>3</sub>)<sub>2</sub>C<sub>6</sub>H<sub>3</sub>－,2012-11-26
536303,α-xylyl,α-茬基；甲苄基,,CH<sub>3</sub>C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
536304,"α,α’-xylylene {phenylenedimethylene}","α,α’-伸茬基 {伸苯二甲基}",,－CH<sub>2</sub>C<sub>6</sub>H<sub>4</sub>CH<sub>2</sub>－,2012-11-26
2306246,capryl,癸醯基,,C<Sub>9</Sub><Font>H</Font><Sub>19</Sub><Font>CO－</Font>,2015-05-29
2306247,caproyl,己醯基,,C<Sub>5</Sub><Font>H</Font><Sub>11</Sub><Font>CO－</Font>,2015-05-29
2460691,sulfanyl,氢硫基,,HS-,2015-09-17
