ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6254854,coupling,偶合反应；偶合作用,,,2020-01-07
6254855,CR oscillator,CR振动器,,,2020-01-07
6254856,cranio-caudal direction,头尾方向,,,2020-01-07
6254857,craniopharyngioma,颅咽管瘤,,,2020-01-07
6254858,Crentinism,呆小病,,,2020-01-07
6254859,Creutzeldt-Jakob disease {=CJD},库贾氏症,,,2020-01-07
6254860,critical organ,关键器官；危急器官,,,2020-01-07
6254861,cross grid,交叉铅栅,,,2020-01-07
6254862,cross section,横断面,,,2020-01-07
6254863,cryptococcal meningitis,隐球菌脑膜炎,,,2020-01-07
6254864,Csl (TI) scintillation counter,CsI (TI)闪烁计数器,,,2020-01-07
6254865,CT density,电脑断层密度,,,2020-01-07
6254866,CT dose index {=CTDI},CT剂量指标,,,2020-01-07
6254867,"CT number {Hounsfield units, HU}",CT值,,,2020-01-07
6254868,CT simulator,电脑断层模拟定位仪,,,2020-01-07
6254869,cubitus valgus,外翻肘,,,2020-01-07
6254870,cubitus varus,内翻肘,,,2020-01-07
6254871,cumulated activity,累积活性；累积放射性,,,2020-01-07
6254872,cumulative activity,累积放射活性,,,2020-01-07
6254873,curative radiotherapy,根治放射治疗,,,2020-01-07
6254874,curie {=Ci},居里,,,2020-01-07
6254875,curiemeter,居里量器,,,2020-01-07
6254876,current amplification factor,电流增强率,,,2020-01-07
6254877,current gain,电流增益,,,2020-01-07
6254878,current GMP {=cGMP},现行药品优良制造规范,,,2020-01-07
6254879,current-type ionization chamber,直流电离箱,,,2020-01-07
6254880,Cushing's syndrome,库欣氏症,,,2020-01-07
6254881,cycling,周期变化,,,2020-01-07
6254882,cyclotron,回旋加速器,,,2020-01-07
6254883,cystic degeneration,囊性病变,,,2020-01-07
6254884,cysticercosis,囊虫病{猪肉绦虫},,,2020-01-07
6254885,cystography,膀胱摄影,,,2020-01-07
6254886,cytokines,细胞激素,,,2020-01-07
6254887,cytomegalovirus {=CMV} infection,巨细胞病毒感染,,,2020-01-07
6254888,D0,D0,,,2020-01-07
6254889,D1,D1,,,2020-01-07
6254890,D-A convertor {digital-analog},数位类比转换器,,,2020-01-07
6254891,Dalton,道耳顿；道耳吞,,,2020-01-07
6254892,daughter nuclide,子核种,,,2020-01-07
6254893,dead time,失效时间；停滞时间,,,2020-01-07
6254894,decacy scheme,衰变图式,,,2020-01-07
6254895,decacy series,衰变系列,,,2020-01-07
6254896,decay,衰变,,,2020-01-07
6254897,decay constant,衰变定数,,,2020-01-07
6254898,decay form,衰变形式,,,2020-01-07
6254899,decontamination factor,除污因数,,,2020-01-07
6254900,decontamination index,除污指数,,,2020-01-07
6254901,deconvolution method,去卷积法,,,2020-01-07
6254902,decubitus position,侧卧摆位,,,2020-01-07
6254903,Dee,D形电极,,,2020-01-07
6254904,deep vein thrombosis {=DVT},深层静脉栓塞,,,2020-01-07
6254905,deep vein thrombus,深层静脉血栓,,,2020-01-07
6254906,deep X-ray therapy,深部X射线治疗,,,2020-01-07
6254907,deep-dose equivalent,深部等效剂量,,,2020-01-07
6254908,degenerative arthritis,退行性骨关节病,,,2020-01-07
6254909,degenerative joint disease　{=DJD},退化性关节疾病,,,2020-01-07
6254910,degradation,衰退,,,2020-01-07
6254911,delayed counts,延迟计数,,,2020-01-07
6254912,delayed neutron,迟延中子,,,2020-01-07
6254913,delayed union,骨折愈合延迟,,,2020-01-07
6254914,deletion,缺失,,,2020-01-07
6254915,delta rays,δ射线,,,2020-01-07
6254916,demantia with Lewy bodies {=DLB},路易氏体失智症,,,2020-01-07
6254917,denature,变性,,,2020-01-07
6254918,densitometer,照片黑度计；感光密度计,,,2020-01-07
6254919,density,密度,,,2020-01-07
6254920,dentinogenesis imperfecta,牙本质发育不全,,,2020-01-07
6254921,deoxyglucose,去氧葡萄糖,,,2020-01-07
6254922,deoxyribonucleic acid {=DNA},去氧核糖核酸,,,2020-01-07
6254923,deoxyribose glucose,去氧核糖,,,2020-01-07
6254924,depressed,凹陷的,,,2020-01-07
6254925,depression,凹陷,,,2020-01-07
6254926,depth dose,深部剂量,,,2020-01-07
6254927,depth isodose curve,深部等剂量线,,,2020-01-07
6254928,dermatitis,皮肤炎,,,2020-01-07
6254929,detecting element,侦检元件,,,2020-01-07
6254930,detection,侦检；探测,,,2020-01-07
